market,population_start,population_end,population_growth_pct,rent_growth_pct,score
TX,25245178.0,26448193.0,4.765325877282386,12.4,8.582662938641192
UT,2774424.0,2900872.0,4.557630701003164,11.2,7.878815350501581
FL,18846054.0,19552860.0,3.750419053240535,10.1,6.925209526620267
NV,2703230.0,2790136.0,3.2148947740295872,10.5,6.857447387014794
AZ,6408790.0,6626624.0,3.3989879524840103,9.8,6.599493976242005
CO,5048196.0,5268367.0,4.361379787948012,8.7,6.530689893974006
NC,9559533.0,9848060.0,3.0182122913326412,9.1,6.059106145666321
WA,6742256.0,6971406.0,3.398714020944918,7.9,5.649357010472459
GA,9713248.0,9992167.0,2.871531747156049,7.8,5.3357658735780245
TN,6356683.0,6495978.0,2.191315816755374,8.4,5.295657908377687
