market,rent_latest,rent_12mo_ago,size_rank,rent_growth_pct,home_value_latest,home_value_12mo_ago,size_rank_hv,home_value_growth_pct,rent_to_value,score
"Syracuse, NY",1619.196972641321,1524.2607668913522,91,6.2283441135591335,254402.043028522,240608.2843705009,91,5.73286937900307,0.07637660232751134,6.502496528949914
"Chicago, IL",2179.817593148377,2064.9745603312463,3,5.5614744618795,344686.99214684305,330914.28733352735,3,4.162015766769915,0.07588859374953381,5.749852327268789
"Cleveland, OH",1418.9251664691158,1356.874857160372,35,4.573031107570299,244469.08147317427,234275.092791648,35,4.3512899984601745,0.06964930655043912,5.224078639079345
"Akron, OH",1259.422335600907,1206.478946239395,83,4.3882563824704,235211.8125717086,226456.8285820672,83,3.8660719769236915,0.06425301459978074,4.84271458405869
"Virginia Beach, VA",1819.3044546157373,1716.570034758375,38,5.984866202783465,369237.9758106419,361836.7672245274,38,2.045455093711334,0.05912624075965816,4.781370232016531
"Grand Rapids, MI",1619.7125847698917,1556.3294877804817,53,4.0726014309349186,350806.2062296981,334366.0112803306,53,4.9168259914983174,0.055405379585879364,4.7662497573998435
"Buffalo, NY",1373.7361692214224,1320.8858425132132,50,4.001127501499473,278777.30821441393,267185.2114776719,50,4.338599682456877,0.0591326250197459,4.67600965592923
"Springfield, MA",1913.2097908931016,1816.5103200253984,85,5.323364794665805,366073.654773456,358335.07619139133,85,2.1595928214215294,0.06271556882432595,4.658690829022559
"Albany, NY",1643.1499277717587,1579.3864262873285,64,4.037232460856295,360401.1379002233,344339.9673227564,64,4.664335279561798,0.05471070165910508,4.65551461798421
"Jackson, MS",1440.2537343620454,1384.855085679858,98,4.000320990624879,210759.1148796135,206796.14137672188,98,1.9163672380483436,0.08200378342932733,4.635152070544274
"Wichita, KS",1173.0530754530755,1119.9885134151166,94,4.737955916722057,220488.0679961564,214599.1334347635,94,2.7441557974338675,0.06384307791967361,4.633721443509192
"New York, NY",3337.13988779536,3202.101188402823,1,4.217190258746731,715583.951353278,687072.3507493674,1,4.1497231802173316,0.05596223696438672,4.610660166495494
"Milwaukee, WI",1503.898724650894,1451.1699191597063,41,3.633537657789944,379291.409236208,360443.26959561225,41,5.229155662066274,0.04758026218456187,4.449569627272716
"Hartford, CT",1931.1910957081727,1877.5656516578413,49,2.856115524002135,389416.08129060426,370646.2943580856,49,5.06406976630527,0.059510365036014284,4.4469780905728635
"Rochester, NY",1533.5048992555078,1486.2245516305238,52,3.1812384994658522,273095.6739503352,263387.96967507305,52,3.685705268633941,0.06738319404654014,4.399702801772728
"Winston, NC",1508.340138181601,1446.363106137069,89,4.285025785126644,280078.4807090881,273447.2471786535,89,2.4250503886412025,0.06462503514141597,4.380276484885497
"Pittsburgh, PA",1478.5450759029336,1422.435563740758,27,3.944608359946891,224487.2591324515,221606.41402054208,27,1.299982730482867,0.07903584808956479,4.338913605810561
"Providence, RI",2127.3318326062013,2028.3066831371468,39,4.882158614982916,514315.2176474589,499966.0730888853,39,2.87002365378952,0.04963489532361602,4.302917401838503
"New Haven, CT",2088.849338798614,2040.336147913923,68,2.377705797855508,397332.86244724976,379960.30902418384,68,4.572202151241063,0.06308612862071326,4.21532682313592
