market_rent,rent_latest,rent_12mo_ago,size_rank,rent_growth_pct,metro_key,market_home,home_value_latest,home_value_12mo_ago,size_rank_hv,home_value_growth_pct,census_market,population_growth_pct,population_end,market_display,rent_to_value,growth_score,value_score,balanced_score
"Syracuse, NY",1619.196972641321,1524.2607668913522,91,6.2283441135591335,syracuse,"Syracuse, NY",254402.043028522,240608.2843705009,91,5.73286937900307,,0.0,,"Syracuse, NY",0.07637660232751134,4.211198459124574,5.637785876987701,4.829252625368734
"Chicago, IL",2179.817593148377,2064.9745603312463,3,5.5614744618795,chicago,"Chicago, IL",344686.99214684305,330914.28733352735,3,4.162015766769915,,0.0,,"Chicago, IL",0.07588859374953381,3.4731945147827745,5.322926156529582,4.226718155247005
"Madison, WI",1673.1994360400815,1626.7743083703388,88,2.853814904186082,madison,"Madison, IN",235995.9609798085,222067.24374700547,791,6.272297074426518,,0.0,,"Madison, WI",0.08507939351639522,3.0232150840023886,5.451962364099629,4.1258066101903585
"Washington, DC",2346.928710141152,2349.4539706541805,6,-0.1074828681289482,washington,"Washington, IN",232435.11146137523,218229.0356422436,787,6.5097092957055125,,0.0,,"Washington, DC",0.12116562056664067,1.9099196414600745,6.687755384276795,4.018494874820507
"Cleveland, OH",1418.9251664691158,1356.874857160372,35,4.573031107570299,cleveland,"Cleveland, OH",244469.08147317427,234275.092791648,35,4.3512899984601745,,0.0,,"Cleveland, OH",0.06964930655043912,3.134599442566172,4.832200548882033,3.8527179628949155
"Springfield, MA",1913.2097908931016,1816.5103200253984,85,5.323364794665805,springfield,"Springfield, MO",267878.14796380256,262807.1130201416,118,1.9295653323022153,,0.0,,"Springfield, MA",0.08570507771996215,2.7082155175569866,5.54288337816149,3.7935023258745386
"Greenville, SC",1551.0590318388563,1544.1801900368553,61,0.4454688543722903,greenville,"Greenville, OH",209194.40844424535,195601.4142667913,593,6.94933327982681,,0.0,,"Greenville, SC",0.08897325946944203,2.262987525696959,5.23269007232924,3.65043916565723
"Jackson, MS",1440.2537343620454,1384.855085679858,98,4.000320990624879,jackson,"Jackson, MI",221070.49810280043,213859.28657538616,272,3.371942197549739,,0.0,,"Jackson, MS",0.0781788839337021,2.6117110555148733,5.046202614565055,3.606659525248941
"Akron, OH",1259.422335600907,1206.478946239395,83,4.3882563824704,akron,"Akron, OH",235211.8125717086,226456.8285820672,83,3.8660719769236915,,0.0,,"Akron, OH",0.06425301459978074,2.915124146065268,4.476909204175485,3.568055200967658
"Grand Rapids, MI",1619.7125847698917,1556.3294877804817,53,4.0726014309349186,grand rapids,"Grand Rapids, MI",350806.2062296981,334366.0112803306,53,4.9168259914983174,,0.0,,"Grand Rapids, MI",0.055405379585879364,3.1040883698234625,4.076471864630784,3.559094518872642
"Virginia Beach, VA",1819.3044546157373,1716.570034758375,38,5.984866202783465,virginia beach,"Virginia Beach, VA",369237.9758106419,361836.7672245274,38,2.045455093711334,,0.0,,"Virginia Beach, VA",0.05912624075965816,3.0075830092267863,4.357830787910734,3.4893484494560365
"Albany, NY",1643.1499277717587,1579.3864262873285,64,4.037232460856295,albany,"Albany, NY",360401.1379002233,344339.9673227564,64,4.664335279561798,,0.0,,"Albany, NY",0.05471070165910508,3.0141935682110574,4.009415103082692,3.4714675913294393
"Buffalo, NY",1373.7361692214224,1320.8858425132132,50,4.001127501499473,buffalo,"Buffalo, NY",278777.30821441393,267185.2114776719,50,4.338599682456877,,0.0,,"Buffalo, NY",0.0591326250197459,2.9020309053368525,4.190716719532878,3.4676406714589794
"New York, NY",3337.13988779536,3202.101188402823,1,4.217190258746731,new york,"New York, NY",715583.951353278,687072.3507493674,1,4.1497231802173316,,0.0,,"New York, NY",0.05596223696438672,2.931793057563892,4.056522217990415,3.421832611966087
"Springfield, MA",1913.2097908931016,1816.5103200253984,85,5.323364794665805,springfield,"Springfield, MA",366073.654773456,358335.07619139133,85,2.1595928214215294,,0.0,,"Springfield, MA",0.06271556882432595,2.777223764292781,4.416410682291612,3.391219020241643
