market_rent,rent_latest,rent_12mo_ago,size_rank,rent_growth_pct,metro_key,market_home,home_value_latest,home_value_12mo_ago,size_rank_hv,home_value_growth_pct,census_market,population_growth_pct,population_end,acs_market,income_latest,income_growth_annualized_pct,market_display,rent_to_value,growth_score,value_score,balanced_score,affordability_gap
"Boise City, ID",1794.3527533235515,1720.9227722650546,79,4.266895774866722,boise city,"Boise City, ID",488569.9782549433,485514.9985077279,79,0.6292245876244992,"Boise City, ID",7.0673038847191005,824657.0,"Boise City, ID Metro Area",85987.0,7.260029676746371,"Boise City, ID",0.044071952838344,4.987747040351284,4.835294736937759,4.719114866109834,6.630805089121872
"Syracuse, NY",1619.196972641321,1524.2607668913522,91,6.2283441135591335,syracuse,"Syracuse, NY",254402.043028522,240608.2843705009,91,5.73286937900307,"Syracuse, NY",-1.0006731801393665,652956.0,"Syracuse, NY Metro Area",75492.0,4.58356544992351,"Syracuse, NY",0.07637660232751134,3.9108001773143903,5.48191950013981,4.565887393059896,-1.1493039290795597
"Provo, UT",1742.6751761644548,1705.9874827382655,92,2.1505253583280814,provo,"Provo, UT",542078.1389108676,530107.6168039724,92,2.258130562066944,"Provo-Orem-Lehi, UT",8.407139917147113,732197.0,"Provo-Orem-Lehi, UT Metro Area",100704.0,6.245350950444739,"Provo, UT",0.03857765257973625,4.759906436809776,4.482259856182815,4.498420414209823,3.987220388377795
"Winston, NC",1508.340138181601,1446.363106137069,89,4.285025785126644,winston,"Winston, NC",280078.4807090881,273447.2471786535,89,2.4250503886412025,"Winston-Salem, NC",2.7315125218937464,695630.0,"Winston-Salem, NC Metro Area",65975.0,5.3774303586467065,"Winston, NC",0.06462503514141597,3.7977535334013464,5.009726920077904,4.147430627239231,2.952379970005504
"Grand Rapids, MI",1619.7125847698917,1556.3294877804817,53,4.0726014309349186,grand rapids,"Grand Rapids, MI",350806.2062296981,334366.0112803306,53,4.9168259914983174,"Grand Rapids-Wyoming-Kentwood, MI",0.9941797756321744,1162950.0,"Grand Rapids-Wyoming-Kentwood, MI Metro Area",82874.0,5.535889252593074,"Grand Rapids, MI",0.055405379585879364,3.837662884636451,4.575325249388428,4.138610055466633,0.6190632610947562
"Springfield, MA",1913.2097908931016,1816.5103200253984,85,5.323364794665805,springfield,"Springfield, MA",366073.654773456,358335.07619139133,85,2.1595928214215294,"Springfield, MO",3.0820515942406232,491053.0,"Springfield, IL Metro Area",75895.0,3.9491111710041604,"Springfield, MA",0.06271556882432595,3.786718693995243,4.8913390132234085,4.109725848364603,1.789518349582631
"Chicago, IL",2179.817593148377,2064.9745603312463,3,5.5614744618795,chicago,"Chicago, IL",344686.99214684305,330914.28733352735,3,4.162015766769915,"Chicago-Naperville-Elgin, IL-IN",-1.8271121904244494,9262825.0,"Chicago-Naperville-Elgin, IL-IN Metro Area",90887.0,4.836319192539373,"Chicago, IL",0.07588859374953381,3.2531472424465635,5.116790515005177,3.96294207548985,0.674303425769458
"Lakeland, FL",1834.1885554136516,1834.9261279309349,82,-0.04019630578343691,lakeland,"Lakeland, FL",298009.1621030402,309830.319756302,82,-3.8153650238491053,"Lakeland-Winter Haven, FL",12.075742510525119,818330.0,"Lakeland-Winter Haven, FL Metro Area",65978.0,5.457432961840469,"Lakeland, FL",0.07385767105158166,3.608161971586545,5.566005569923586,3.8413780790311627,9.272797985689575
"Columbia, SC",1550.5894812573854,1511.5777234273182,72,2.5808635060863923,columbia,"Columbia, MO",318020.13295989035,310508.3108277069,219,2.4192016349448338,"Columbia, SC",3.3928134753661148,858302.0,"Columbia, MO Metro Area",72340.0,5.707769729865708,"Columbia, SC",0.05850910633206799,3.53324518012284,4.627046955135275,3.8268094395379495,3.2885680949208744
"Charleston, SC",1987.2381455613408,1928.6435620522395,75,3.0381240298623,charleston,"Charleston, SC",430380.8941557125,433929.3225301044,75,-0.8177433950999445,"Charleston-North Charleston, SC",5.717912816204612,849417.0,"Charleston-North Charleston, SC Metro Area",85254.0,6.019227627292811,"Charleston, SC",0.05540872764232944,3.6821736408130565,4.627908075398788,3.774541331780012,6.836971022392756
"Hartford, CT",1931.1910957081727,1877.5656516578413,49,2.856115524002135,hartford,"Hartford, CT",389416.08129060426,370646.2943580856,49,5.06406976630527,"Hartford-West Hartford-East Hartford, CT",1.394641561533639,1151543.0,"Hartford-West Hartford-East Hartford, CT Metro Area",95118.0,4.109710562126079,"Hartford, CT",0.059510365036014284,3.2457366413766238,4.438443550400448,3.7203687345337455,-0.9543592041791911
"Harrisburg, PA",1445.832280911996,1400.8093620467769,99,3.2140646746845194,harrisburg,"Harrisburg, PA",306956.080254164,296340.3677348082,99,3.5822701444629725,"Harrisburg-Carlisle, PA",2.237205904928027,606055.0,"Harrisburg-Carlisle, PA Metro Area",80919.0,4.505645259225699,"Harrisburg, PA",0.056522703041353387,3.3663862223363816,4.395286027132936,3.7163809760147704,0.9233751147627265
"Virginia Beach, VA",1819.3044546157373,1716.570034758375,38,5.984866202783465,virginia beach,"Virginia Beach, VA",369237.9758106419,361836.7672245274,38,2.045455093711334,"Virginia Beach-Chesapeake-Norfolk, VA-NC",0.3062784557773647,1787169.0,"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",82330.0,4.282073654950458,"Virginia Beach, VA",0.05912624075965816,3.351638907259262,4.451209090582443,3.70987160297857,2.236618561239124
"Akron, OH",1259.422335600907,1206.478946239395,83,4.3882563824704,akron,"Akron, OH",235211.8125717086,226456.8285820672,83,3.8660719769236915,"Akron, OH",-0.4668834815028062,698398.0,"Akron, OH Metro Area",72371.0,4.786354415616789,"Akron, OH",0.06425301459978074,3.1695590436543544,4.58415195217016,3.6979678968218455,0.9202824386930977
"Wichita, KS",1173.0530754530755,1119.9885134151166,94,4.737955916722057,wichita,"Wichita, KS",220488.0679961564,214599.1334347635,94,2.7441557974338675,"Wichita, KS",0.6804661648106629,652939.0,"Wichita, KS Metro Area",70655.0,4.250461241684711,"Wichita, KS",0.06384307791967361,3.202949786127234,4.597686584611314,3.6771517887614666,1.5063054442508435
"Providence, RI",2127.3318326062013,2028.3066831371468,39,4.882158614982916,providence,"Providence, RI",514315.2176474589,499966.0730888853,39,2.87002365378952,"Providence-Warwick, RI-MA",0.27414272873317014,1677803.0,"Providence-Warwick, RI-MA Metro Area",87040.0,5.117441261700795,"Providence, RI",0.04963489532361602,3.3865483128612697,4.0616340457542055,3.617384612444666,2.2474176079112747
"Allentown, PA",1809.255419192313,1747.1264248207658,70,3.556067465347898,allentown,"Allentown, PA",357470.0893738984,347449.1303151787,70,2.8841514294853625,"Allentown-Bethlehem-Easton, PA-NJ",1.3925950343389932,873555.0,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",84587.0,4.569395258342568,"Allentown, PA",0.06073533332071012,3.134148098671832,4.44921380608491,3.569275210581011,1.6852438288572054
"New Haven, CT",2088.849338798614,2040.336147913923,68,2.377705797855508,new haven,"New Haven, CT",397332.86244724976,379960.30902418384,68,4.572202151241063,"New Haven, CT",0.7236613505981464,568158.0,"New Haven, CT Metro Area",88197.0,4.758462200107427,"New Haven, CT",0.06308612862071326,2.998283057281258,4.475070405340366,3.5515835191639034,0.18626004886636416
"Buffalo, NY",1373.7361692214224,1320.8858425132132,50,4.001127501499473,buffalo,"Buffalo, NY",278777.30821441393,267185.2114776719,50,4.338599682456877,"Buffalo-Cheektowaga, NY",-0.7612059756043104,1155604.0,"Buffalo-Cheektowaga, NY Metro Area",72237.0,4.625074938910156,"Buffalo, NY",0.0591326250197459,3.034025427767679,4.274577563855051,3.5277649798236017,0.2864752564532793
"Richmond, VA",1690.906071815458,1631.8941842261806,45,3.6161589495007584,richmond,"Richmond, VA",391101.78957448015,383881.197441924,45,1.8809444642436577,"Richmond, VA",2.512900202484191,1349732.0,"Richmond, VA Metro Area",86679.0,4.811249774534065,"Richmond, VA",0.051881309169825134,3.292074071953523,4.163799698044349,3.5232782631749497,2.9303053102904077
"Tulsa, OK",1350.049102641662,1318.777549271087,56,2.3712530887304983,tulsa,"Tulsa, OK",250274.8652438059,243918.18871980635,56,2.606069091182693,"Tulsa, OK",2.6939597975131466,1044757.0,"Tulsa, OK Metro Area",69359.0,4.469310898823342,"Tulsa, OK",0.06473118751225018,3.0234074189398106,4.603688914929576,3.517649042370214,1.863241807640649
"Cincinnati, OH",1549.064240175312,1494.5149922233306,28,3.6499632479986492,cincinnati,"Cincinnati, OH",305194.83921496774,297607.65928626055,28,2.549390007939713,"Cincinnati, OH-KY-IN",0.8661290050417989,2271479.0,"Cincinnati, OH-KY-IN Metro Area",81120.0,4.859368667825614,"Cincinnati, OH",0.06090788078172749,3.0362413942043904,4.402112774101618,3.4810865598869998,2.309978659885901
"Toledo, OH",1197.2019394255212,1144.0321224807883,93,4.6475807715465445,toledo,"Toledo, OH",197171.54671407244,192481.6212678404,93,2.436557534865076,"Toledo, OH",-0.9277586374824395,600141.0,"Toledo, OH Metro Area",65486.0,4.479453584976967,"Toledo, OH",0.07286255807456675,2.7695094753106106,4.752362224698172,3.452484060477058,2.042896050111891
"Oklahoma City, OK",1379.2916590501306,1341.4305311974058,42,2.8224441722620357,oklahoma city,"Oklahoma City, OK",244630.2918448738,242061.7228189972,42,1.0611215172575101,"Oklahoma City, OK",3.3558051386771472,1477926.0,"Oklahoma City, OK Metro Area",72094.0,4.060485202240738,"Oklahoma City, OK",0.06765924115030401,2.913030140359584,4.68658818046642,3.4159820319551484,2.9993636849832277
"Milwaukee, WI",1503.898724650894,1451.1699191597063,41,3.633537657789944,milwaukee,"Milwaukee, WI",379291.409236208,360443.26959561225,41,5.229155662066274,"Milwaukee-Waukesha, WI",-0.8924874053335841,1560424.0,"Milwaukee-Waukesha, WI Metro Area",78218.0,4.626027594130022,"Milwaukee, WI",0.04758026218456187,3.0692774769493476,3.7690890414998695,3.4146275173884564,-0.6031280679362521
"Kansas City, MO",1503.3240640764095,1456.915110831978,31,3.185426034735102,kansas city,"Kansas City, MO",323088.455147229,313483.8649472716,31,3.063822822770458,"Kansas City, MO-KS",1.1900868159790963,2221343.0,"Kansas City, MO-KS Metro Area",83460.0,4.606604742817999,"Kansas City, MO",0.05583575792176254,3.0175652646738964,4.16630902778619,3.405995753823724,1.542781920047541
"Little Rock, AR",1209.303280750517,1178.9404647568429,81,2.575432509218048,little rock,"Little Rock, AR",227427.75653036404,221153.61075721437,81,2.8370080649678044,"Little Rock-North Little Rock-Conway, AR",2.010040187452436,764045.0,"Little Rock-North Little Rock-Conway, AR Metro Area",67154.0,4.170296106103022,"Little Rock, AR",0.06380768816610449,2.8851154391478397,4.468412094387508,3.4044423215007322,1.3332880411352175
"Ogden, UT",1640.7230184509788,1610.2378918394606,87,1.8932063868335218,ogden,"Ogden, UT",515981.2047466151,502635.5264292078,87,2.6551402787257805,"Ogden, UT",2.9714882944452006,658133.0,"Ogden, UT Metro Area",101203.0,6.158470071346933,"Ogden, UT",0.03815773915850353,3.3814795632432464,3.6360870028990857,3.402687412989516,3.5033297926211526
"Greenville, SC",1551.0590318388563,1544.1801900368553,61,0.4454688543722903,greenville,"Greenville, SC",310898.0151014505,305591.1555557797,61,1.736588068466574,"Greenville-Anderson-Greer, SC",4.804450546971192,975480.0,"Greenville-Anderson-Greer, SC Metro Area",71240.0,5.354348521048391,"Greenville, SC",0.059867569035436524,3.0206580370098974,4.458339601800082,3.3884581764218518,3.617760452581817
"Knoxville, TN",1730.9390785480855,1716.5398131076424,65,0.838854148938991,knoxville,"Knoxville, TN",361803.8791881092,357155.8849456156,65,1.301390915958543,"Knoxville, TN",4.456140660738098,946264.0,"Knoxville, TN Metro Area",72422.0,5.798210880322507,"Knoxville, TN",0.05741029916314861,3.075522313138557,4.3775834074374815,3.3820165160858067,4.496819964363964
"Indianapolis, IN",1513.5063950599276,1475.2721367167603,34,2.5916749453601295,indianapolis,"Indianapolis, IN",290744.5746756315,287108.6417250039,34,1.2663962076453703,"Indianapolis-Carmel-Greenwood, IN",2.184833794848393,2138468.0,"Indianapolis-Carmel-Greenwood, IN Metro Area",79852.0,5.343738266165987,"Indianapolis, IN",0.06246746568179857,2.912924740390708,4.455712627401649,3.343924375298961,4.077342058520617
"Deltona, FL",1784.1658223017291,1773.835478131257,90,0.5823732977398263,deltona,"Deltona, FL",328408.44934261,340788.091092959,90,-3.6326509270454785,"Deltona-Daytona Beach-Ormond Beach, FL",7.441456138992921,721796.0,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",71277.0,7.194558072578028,"Deltona, FL",0.06519317609056068,3.1071853568055894,4.8531859577673,3.324163622698461,10.827208999623506
"Omaha, NE",1411.7868121280287,1363.9563844700192,59,3.5067417259529576,omaha,"Omaha, NE",304632.4245030368,298929.0595791356,59,1.9079325817071668,"Omaha, NE-IA",1.529490912617913,983969.0,"Omaha, NE-IA Metro Area",84829.0,4.557238644005035,"Omaha, NE",0.0556127331920554,2.9552914232830574,4.132386944199595,3.309808857035093,2.6493060622978684
"Greensboro, NC",1427.8279983059226,1386.423106511873,76,2.9864542504792086,greensboro,"Greensboro, NC",263849.83086342533,261701.4455789074,76,0.820929849953827,"Greensboro-High Point, NC",1.9228560625905715,789842.0,"Greensboro-High Point, NC Metro Area",65565.0,5.197693089700106,"Greensboro, NC",0.06493821096493325,2.840259533207197,4.520362988832863,3.3089825275427023,4.376763239746279
"Fresno, CA",1999.3400980599752,1943.1569326398264,57,2.89133442988686,fresno,"Fresno, CA",409963.1223301206,407254.0846353935,57,0.6651959543026851,"Fresno, CA",1.2113419967630072,1180020.0,"Fresno, CA Metro Area",74468.0,6.651032390151501,"Fresno, CA",0.05852253500352699,2.966033116555222,4.313089993109188,3.3061857007680584,5.985836435848816
"Palm Bay, FL",1894.5301951360689,1864.098053817563,97,1.6325397291297377,palm bay,"Palm Bay, FL",341313.1011878468,352163.7132146396,97,-3.0811272199925543,"Palm Bay-Melbourne-Titusville, FL",5.782760461582686,643979.0,"Palm Bay-Melbourne-Titusville, FL Metro Area",78476.0,6.688090724649687,"Palm Bay, FL",0.06660852531740535,2.9912492712985035,4.804779554588302,3.285207605291479,9.769217944642241
"Louisville, KY",1371.3713558427746,1339.5813408503898,46,2.3731306209598277,louisville,"Louisville, KY",277723.5848229106,271277.9629786346,46,2.3760211752930616,,1.3925950343389932,,,,5.190157614574709,"Louisville, KY",0.05925480286669457,2.832831583574986,4.247450737011591,3.2738594630817284,2.814136439281647
"Philadelphia, PA",1868.832651986005,1808.0784217438331,7,3.360154599023219,philadelphia,"Philadelphia, PA",383957.83059877664,373920.1232399102,7,2.6844523027786313,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.06717433783292992,6246160.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",91289.0,4.762146212056773,"Philadelphia, PA",0.0584074344540885,2.7522669777351174,4.125201053048784,3.218904737100799,2.0776939092781412
"St. Louis, MO",1415.989568522473,1364.3489907178323,21,3.784997691644191,st louis,"St. Louis, MO",270704.4865033018,263559.72832673404,21,2.7108686983128387,"St. Louis, MO-IL",-0.787915204674214,2796999.0,"St. Louis, MO-IL Metro Area",80196.0,4.711851170363324,"St. Louis, MO",0.0627690920152608,2.6586570385781023,4.252036059118016,3.2147467359403494,2.000982472050485
"Bridgeport, CT",2766.550759286882,2712.053542951267,60,2.009444705738038,bridgeport,"Bridgeport, CT",674486.495616743,640946.1569915239,60,5.232941684626189,"Bridgeport-Stamford-Danbury, CT",0.9337526716909483,951558.0,"Bridgeport-Stamford-Danbury, CT Metro Area",114565.0,3.6759294751108174,"Bridgeport, CT",0.049220569021305824,2.8018422853470906,3.7310888023023514,3.2091944780396875,-1.5570122095153716
"Madison, WI",1673.1994360400815,1626.7743083703388,88,2.853814904186082,madison,"Madison, WI",443055.9358589337,429918.7158646071,88,3.055745076812127,"Madison, WI",1.8247490108549325,694345.0,"Madison, WI Metro Area",88804.0,4.176554689185341,"Madison, WI",0.04531796463477202,2.967619411628318,3.673150706879907,3.2046329509385805,1.1208096123732143
"New York, NY",3337.13988779536,3202.101188402823,1,4.217190258746731,new york,"New York, NY",715583.951353278,687072.3507493674,1,4.1497231802173316,"New York-Newark-Jersey City, NY-NJ",-2.4626539734005277,19498249.0,"New York-Newark-Jersey City, NY-NJ Metro Area",99155.0,4.709828112934411,"New York, NY",0.05596223696438672,2.6568952485509563,3.902927641161228,3.1731105831027264,0.5601049327170795
"Des Moines, IA",1268.0793185967866,1245.2222559888194,84,1.8355809573783002,des moines,"Des Moines, IA",290939.66544689325,286845.5151436768,84,1.427301487062043,"Des Moines-West Des Moines, IA",3.6507311586051743,737164.0,"Des Moines-West Des Moines, IA Metro Area",85890.0,4.138833118963969,"Des Moines, IA",0.05230277487185421,2.7835256540181845,3.9401268031817605,3.0868100153486258,2.7115316319019263
"Pittsburgh, PA",1478.5450759029336,1422.435563740758,27,3.944608359946891,pittsburgh,"Pittsburgh, PA",224487.2591324515,221606.41402054208,27,1.299982730482867,"Pittsburgh, PA",-1.3276460978861029,2422725.0,"Pittsburgh, PA Metro Area",75762.0,4.589714336535899,"Pittsburgh, PA",0.07903584808956479,2.2588961137430896,4.767612926868206,3.0841000051567273,3.2897316060530324
"Cleveland, OH",1418.9251664691158,1356.874857160372,35,4.573031107570299,cleveland,"Cleveland, TN",308473.08157988515,305820.53543072706,334,0.867353837250388,"Cleveland, OH",-1.1530070532000376,2158932.0,"Cleveland, TN Metro Area",66135.0,5.7863460027332225,"Cleveland, OH",0.05519801569207551,2.7037148371044633,3.9516015984339594,3.071366569630422,4.918992165482835
"Minneapolis, MN",1681.2579918505862,1622.5171141739863,16,3.6203548895386857,minneapolis,"Minneapolis, MN",386374.1840177592,379073.8092049751,16,1.9258452141800795,"Minneapolis-St. Paul-Bloomington, MN-WI",0.4847170390518538,3712020.0,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",99833.0,4.4193368077665385,"Minneapolis, MN",0.052216469776561754,2.6972889714022195,3.820986971816848,3.054315581232792,2.4934915935864588
