market_rent,rent_latest,rent_12mo_ago,size_rank,rent_growth_pct,metro_key,market_home,home_value_latest,home_value_12mo_ago,size_rank_hv,home_value_growth_pct,census_market,population_growth_pct,population_end,income_growth_annualized_pct,income_latest,market_display,rent_to_value,growth_score,value_score,balanced_score
"Syracuse, NY",1619.196972641321,1524.2607668913522,91,6.2283441135591335,syracuse,"Syracuse, NY",254402.043028522,240608.2843705009,91,5.73286937900307,"Syracuse, NY",-1.0006731801393665,652956.0,0.0,,"Syracuse, NY",0.07637660232751134,3.9109965050827644,5.437651240959828,4.579084330333893
"Springfield, MA",1913.2097908931016,1816.5103200253984,85,5.323364794665805,springfield,"Springfield, MA",366073.654773456,358335.07619139133,85,2.1595928214215294,"Springfield, MO",3.0820515942406232,491053.0,0.0,,"Springfield, MA",0.06271556882432595,3.7018392425649678,5.0328210011397365,4.161731918801799
"Boise City, ID",1794.3527533235515,1720.9227722650546,79,4.266895774866722,boise city,"Boise City, ID",488569.9782549433,485514.9985077279,79,0.6292245876244992,"Boise City, ID",7.0673038847191005,824657.0,0.0,,"Boise City, ID",0.044071952838344,4.015716851649769,4.533360032596814,4.085639907312797
"Provo, UT",1742.6751761644548,1705.9874827382655,92,2.1505253583280814,provo,"Provo, UT",542078.1389108676,530107.6168039724,92,2.258130562066944,"Provo-Orem-Lehi, UT",8.407139917147113,732197.0,0.0,,"Provo, UT",0.03857765257973625,4.05979128709545,4.266228740288545,4.083028278896664
"Winston, NC",1508.340138181601,1446.363106137069,89,4.285025785126644,winston,"Winston, NC",280078.4807090881,273447.2471786535,89,2.4250503886412025,"Winston-Salem, NC",2.7315125218937464,695630.0,0.0,,"Winston, NC",0.06462503514141597,3.260979187211142,4.877064457338998,3.8671491660000497
"Grand Rapids, MI",1619.7125847698917,1556.3294877804817,53,4.0726014309349186,grand rapids,"Grand Rapids, MI",350806.2062296981,334366.0112803306,53,4.9168259914983174,"Grand Rapids-Wyoming-Kentwood, MI",0.9941797756321744,1162950.0,0.0,,"Grand Rapids, MI",0.055405379585879364,3.402342302513115,4.275307819757218,3.8076394627806858
"Chicago, IL",2179.817593148377,2064.9745603312463,3,5.5614744618795,chicago,"Chicago, IL",344686.99214684305,330914.28733352735,3,4.162015766769915,"Chicago-Naperville-Elgin, IL-IN",-1.8271121904244494,9262825.0,0.0,,"Chicago, IL",0.07588859374953381,2.9250608576554398,4.957503718444692,3.7699401076408927
"Hartford, CT",1931.1910957081727,1877.5656516578413,49,2.856115524002135,hartford,"Hartford, CT",389416.08129060426,370646.2943580856,49,5.06406976630527,"Hartford-West Hartford-East Hartford, CT",1.394641561533639,1151543.0,0.0,,"Hartford, CT",0.059510365036014284,3.0800596079525264,4.332076645538396,3.661719789880654
"Virginia Beach, VA",1819.3044546157373,1716.570034758375,38,5.984866202783465,virginia beach,"Virginia Beach, VA",369237.9758106419,361836.7672245274,38,2.045455093711334,"Virginia Beach-Chesapeake-Norfolk, VA-NC",0.3062784557773647,1787169.0,0.0,,"Virginia Beach, VA",0.05912624075965816,3.099466545959996,4.419086479066207,3.5659180634003773
"Wichita, KS",1173.0530754530755,1119.9885134151166,94,4.737955916722057,wichita,"Wichita, KS",220488.0679961564,214599.1334347635,94,2.7441557974338675,"Wichita, KS",0.6804661648106629,652939.0,0.0,,"Wichita, KS",0.06384307791967361,2.922568955362182,4.550253892033612,3.5544038239712217
"Harrisburg, PA",1445.832280911996,1400.8093620467769,99,3.2140646746845194,harrisburg,"Harrisburg, PA",306956.080254164,296340.3677348082,99,3.5822701444629725,"Harrisburg-Carlisle, PA",2.237205904928027,606055.0,0.0,,"Harrisburg, PA",0.056522703041353387,3.0314686846911076,4.274616282436476,3.549542475580173
"Lakeland, FL",1834.1885554136516,1834.9261279309349,82,-0.04019630578343691,lakeland,"Lakeland, FL",298009.1621030402,309830.319756302,82,-3.8153650238491053,"Lakeland-Winter Haven, FL",12.075742510525119,818330.0,0.0,,"Lakeland, FL",0.07385767105158166,2.4620347236894293,5.718456291142509,3.5301889009656056
"Akron, OH",1259.422335600907,1206.478946239395,83,4.3882563824704,akron,"Akron, OH",235211.8125717086,226456.8285820672,83,3.8660719769236915,"Akron, OH",-0.4668834815028062,698398.0,0.0,,"Akron, OH",0.06425301459978074,2.775059101614426,4.383532507874924,3.451334330591956
"Columbia, SC",1550.5894812573854,1511.5777234273182,72,2.5808635060863923,columbia,"Columbia, MO",318020.13295989035,310508.3108277069,219,2.4192016349448338,"Columbia, SC",3.3928134753661148,858302.0,0.0,,"Columbia, SC",0.05850910633206799,2.7759499355278416,4.3621108763883845,3.397444956045015
"Allentown, PA",1809.255419192313,1747.1264248207658,70,3.556067465347898,allentown,"Allentown, PA",357470.0893738984,347449.1303151787,70,2.8841514294853625,"Allentown-Bethlehem-Easton, PA-NJ",1.3925950343389932,873555.0,0.0,,"Allentown, PA",0.06073533332071012,2.705450925286466,4.314914308921421,3.350713521974661
"Tulsa, OK",1350.049102641662,1318.777549271087,56,2.3712530887304983,tulsa,"Tulsa, OK",250274.8652438059,243918.18871980635,56,2.606069091182693,"Tulsa, OK",2.6939597975131466,1044757.0,0.0,,"Tulsa, OK",0.06473118751225018,2.538509902100951,4.510208861979508,3.3310068990381128
"Oklahoma City, OK",1379.2916590501306,1341.4305311974058,42,2.8224441722620357,oklahoma city,"Oklahoma City, OK",244630.2918448738,242061.7228189972,42,1.0611215172575101,"Oklahoma City, OK",3.3558051386771472,1477926.0,0.0,,"Oklahoma City, OK",0.06765924115030401,2.4540556656852113,4.724724071428788,3.3041497386683556
"New Haven, CT",2088.849338798614,2040.336147913923,68,2.377705797855508,new haven,"New Haven, CT",397332.86244724976,379960.30902418384,68,4.572202151241063,"New Haven, CT",0.7236613505981464,568158.0,0.0,,"New Haven, CT",0.06308612862071326,2.539841369693966,4.231800075850501,3.29900018723072
"Buffalo, NY",1373.7361692214224,1320.8858425132132,50,4.001127501499473,buffalo,"Buffalo, NY",278777.30821441393,267185.2114776719,50,4.338599682456877,"Buffalo-Cheektowaga, NY",-0.7612059756043104,1155604.0,0.0,,"Buffalo, NY",0.0591326250197459,2.6736691126555594,4.038475524412016,3.2773391775579013
