market,rent_latest,rent_12mo_ago,rent_growth_pct,score
"Indiana, PA",939.7222222222222,683.9290358477966,37.4005449348038,37.4005449348038
"Abilene, TX",1771.3613223902432,1295.0882974816689,36.775332294693655,36.775332294693655
"Monroe, LA",1136.1126651126651,880.1194089064778,29.086195988366093,29.086195988366093
"Freeport, IL",911.690476190476,722.0700988607263,26.26066051328404,26.26066051328404
"Mount Pleasant, MI",1140.4166666666667,964.7707122046857,18.20597912436588,18.20597912436588
"New Castle, PA",1141.148148148148,967.3889134405524,17.96167314855975,17.96167314855975
"Winona, MN",1237.0555555555557,1052.1159962902314,17.577867831819166,17.577867831819166
"Ocean City, NJ",2358.8888888888887,2045.51995459268,15.319769117510717,15.319769117510717
"Lima, OH",1154.9735449735451,1005.8930611825696,14.820709033991184,14.820709033991184
"Oneonta, NY",1409.638888888889,1240.0716338146667,13.673988699556421,13.673988699556421
"Jamestown, NY",1076.6666666666667,957.6521069077972,12.42774478334941,12.42774478334941
"Pittsburg, KS",949.2708333333334,848.402882632248,11.88915699910558,11.88915699910558
"Austin, MN",983.5555555555557,880.1206610279057,11.752353865530985,11.752353865530985
"Greeneville, TN",997.2222222222222,893.842172951904,11.565805731554006,11.565805731554006
"Sedalia, MO",966.3333333333334,867.0526710212768,11.45036116377068,11.45036116377068
"Muskogee, OK",1218.0555555555554,1098.8822331496344,10.844958523384662,10.844958523384662
"Dyersburg, TN",836.1111111111112,755.2858502969589,10.701280949772054,10.701280949772054
"Bluefield, WV",859.1666666666666,777.2218341513229,10.54330036994165,10.54330036994165
"Jefferson City, MO",987.1085858585858,893.0635694756555,10.530607181541054,10.530607181541054
"Butte, MT",1302.2222222222224,1178.9494693110453,10.456152372943963,10.456152372943963
"Fond du Lac, WI",1151.8333333333333,1043.002637249274,10.434364420312507,10.434364420312507
"Springfield, OH",1198.0185185185185,1084.9177606810515,10.42482314663819,10.42482314663819
"Beaver Dam, WI",1257.0416666666667,1138.8798192106692,10.37526923059298,10.37526923059298
"Quincy, IL",1004.3055555555557,909.964660937712,10.367533890890451,10.367533890890451
"Tahlequah, OK",1046.3333333333333,949.231554514313,10.229514427457453,10.229514427457453
"Dixon, IL",1091.6666666666667,993.0480446723684,9.930901382202018,9.930901382202018
"Rolla, MO",844.9265350877193,769.869886990075,9.749264046563752,9.749264046563752
"Steamboat Springs, CO",3234.444444444445,2950.369606239565,9.62844918155699,9.62844918155699
"Riverton, WY",1391.4,1269.7783119485605,9.57818281403806,9.57818281403806
"Fort Leonard Wood, MO",1101.293183940243,1005.584885087614,9.517674765396865,9.517674765396865
"Cedar Rapids, IA",1230.5472921584053,1123.6614003768032,9.512286507818061,9.512286507818061
"Muskegon, MI",1138.1818181818182,1040.5915396817695,9.378346332692027,9.378346332692027
"Baraboo, WI",1137.1444444444444,1040.7675553469865,9.26017424374133,9.26017424374133
"Lake Charles, LA",1147.1118401624217,1050.2205560862776,9.22580342906412,9.22580342906412
"Fort Polk South, LA",1368.3333333333333,1255.6657402507217,8.97273768575664,8.97273768575664
"Elko, NV",1639.6166666666668,1504.69860757623,8.966450717181361,8.966450717181361
"Weirton, WV",858.2962962962962,788.0211743989814,8.917923043237149,8.917923043237149
"Bismarck, ND",1280.1403726708074,1175.9027446312898,8.864476974428856,8.864476974428856
"Moscow, ID",1183.076388888889,1086.9196327412722,8.846721804546306,8.846721804546306
"Binghamton, NY",1279.5095068330363,1176.208651800847,8.782528072211452,8.782528072211452
"Pittsfield, MA",1577.888888888889,1451.044692896321,8.741577472667895,8.741577472667895
"Paducah, KY",1145.75,1054.794259976307,8.623078781802999,8.623078781802999
"Lock Haven, PA",938.3333333333334,865.2539626779184,8.44600242329292,8.44600242329292
"Thomasville, GA",1851.3888888888887,1708.4664740829246,8.365538157995308,8.365538157995308
"Altoona, PA",936.9166666666666,864.8747377798982,8.329752938754744,8.329752938754744
"Newport, OR",2054.111111111111,1898.1207738368416,8.218146043412823,8.218146043412823
"Richmond, IN",866.3888888888888,801.126756794286,8.14629289823618,8.14629289823618
"Ponca City, OK",817.9444444444445,757.2048235139687,8.021557581817923,8.021557581817923
"Lawrence, KS",1413.54885361552,1309.8978650315394,7.912906139555015,7.912906139555015
"Kearney, NE",1444.9166666666667,1339.2678891299577,7.888547048293884,7.888547048293884
"Grand Forks, ND",1180.7341454411223,1095.033661197397,7.82628765493964,7.82628765493964
"Cortland, NY",1186.9722222222224,1102.2054208015356,7.690653649574998,7.690653649574998
"Janesville, WI",1242.3553113553114,1153.913657878208,7.664494901614055,7.664494901614055
"El Centro, CA",1903.409523809524,1768.355081467074,7.6372920663877855,7.6372920663877855
"Big Rapids, MI",1104.5,1026.1450567973868,7.635854471409731,7.635854471409731
"Decatur, IL",1010.1851851851852,939.031465056699,7.577352067131211,7.577352067131211
"Whitewater, WI",1562.8333333333333,1454.8738957878604,7.420535749389426,7.420535749389426
"Kingsville, TX",1379.4166666666667,1284.79700410636,7.364561269826392,7.364561269826392
"Evansville, IN",1074.780262438799,1001.4472343917045,7.322705133999211,7.322705133999211
"Danville, IL",859.4708994708994,800.9018483241325,7.312887499176238,7.312887499176238
