market,population_start,population_end,population_growth_pct
ND,674344.0,723393.0,7.273587367871591
DC,605125.0,646449.0,6.829002272257798
TX,25245178.0,26448193.0,4.765325877282386
UT,2774424.0,2900872.0,4.557630701003164
CO,5048196.0,5268367.0,4.361379787948012
FL,18846054.0,19552860.0,3.750419053240535
SD,816211.0,844877.0,3.5120820474117598
AZ,6408790.0,6626624.0,3.3989879524840103
WA,6742256.0,6971406.0,3.398714020944918
WY,564222.0,582658.0,3.267508179404561
NV,2703230.0,2790136.0,3.2148947740295872
NC,9559533.0,9848060.0,3.0182122913326412
SC,4636361.0,4774839.0,2.9867820905231492
AK,713868.0,735132.0,2.978701944897376
HI,1363731.0,1404054.0,2.9568147970530845
VA,8024417.0,8260405.0,2.940874084684283
DE,899711.0,925749.0,2.8940404196458642
GA,9713248.0,9992167.0,2.871531747156049
CA,37333601.0,38332521.0,2.675659387906353
ID,1570718.0,1612136.0,2.6368832597576395
MT,990527.0,1015165.0,2.487362787687766
MD,5787193.0,5928814.0,2.44714492846532
OK,3759263.0,3850568.0,2.4288005388290204
OR,3837208.0,3930065.0,2.4199105182726606
USA,309326295.0,316128839.0,2.199148313595519
TN,6356683.0,6495978.0,2.191315816755374
NE,1829838.0,1868516.0,2.11373903044969
MN,5310337.0,5420380.0,2.07224136622591
MA,6563263.0,6692824.0,1.9740333428661931
LA,4545392.0,4625470.0,1.7617402415457235
IA,3050314.0,3090416.0,1.3146843243023505
NY,19398228.0,19651127.0,1.3037221750357815
AR,2922280.0,2959373.0,1.2693171085590702
IN,6489965.0,6570902.0,1.2471099613017944
KS,2858910.0,2893957.0,1.2258867890209906
NJ,8802707.0,8899339.0,1.0977532252294664
KY,4347698.0,4395295.0,1.0947632517253958
AL,4785570.0,4833722.0,1.0061915299535897
NM,2064982.0,2085287.0,0.9833015493597522
WI,5689060.0,5742713.0,0.9430907742228066
MO,5996063.0,6044171.0,0.8023264598787571
MS,2970047.0,2991207.0,0.7124466380498355
NH,1316614.0,1323459.0,0.5198942134900586
PA,12710472.0,12773801.0,0.49824270884668953
CT,3579210.0,3596080.0,0.4713330595298963
IL,12839695.0,12882135.0,0.3305374465670719
OH,11545435.0,11570808.0,0.2197665137779564
MI,9876149.0,9895622.0,0.1971719948737104
VT,625793.0,626630.0,0.13375029762237672
ME,1327366.0,1328302.0,0.07051559253438766
WV,1854146.0,1854304.0,0.00852144329518819
RI,1052669.0,1051511.0,-0.11000608928352597
PR,3721208.0,3615086.0,-2.851815861945906
